Tag,RelatedQuestions
ash,"[13, 19, 27, 28, 30, 33, 46, 47, 64, 71, 84, 94, 108, 110, 122, 123, 150, 155, 156, 157, 158, 162, 169, 170, 173, 182, 188, 201, 203, 204, 205, 206, 213, 226, 230, 232, 234, 241, 259, 298, 301, 328, 341, 342, 349, 350, 354, 360, 361, 362, 363, 364, 369, 374, 376, 384, 386, 387, 388, 398, 400, 419, 420, 422, 424, 430, 435, 438, 446, 452, 458, 478, 509, 515, 530, 535, 537, 541, 542, 560, 561, 566, 585, 604, 606, 614, 630, 631, 638, 657, 660, 662, 663, 666, 679, 680, 682, 699, 705, 710, 712, 720, 729, 730, 731, 747, 749, 750, 751, 752, 756, 759, 779, 788, 802, 807, 815, 840, 841, 850, 851, 864, 865, 869, 878, 884, 887, 891, 896, 903, 905, 936, 949, 960, 965, 977, 995, 996, 997, 998, 1023, 1027, 1038, 1068, 1073, 1089, 1137, 1138, 1142, 1145, 1146, 1159, 1164, 1166, 1176]"
astre trainer,[91]
atlas,[1054]
attract,"[44, 308, 309, 311]"
aura,"[8, 10, 11, 142, 143, 160, 228, 229, 230, 231, 232, 355, 377, 397, 472, 572, 629, 636, 656, 747, 816, 845, 908, 918, 940, 975, 977, 981, 1025, 1056, 1155]"
aura guardians,[930]
aura sphere,[228]
aura trio,[803]
az,[803]
azalea town,[1157]
baltoy,[940]
banette,"[130, 131, 1056]"
barrier,[797]
baton pass,[641]
battle chateau,[485]
battle frontier,"[82, 94, 485, 1060]"
battlus,[764]
beheeyem,"[1065, 1161]"
beldum,"[265, 271, 371, 372, 805, 858, 859]"
bertha,"[659, 1054]"
black broth,[329]
blackthorn city,"[185, 549, 592, 916, 937, 952]"
blaine,"[31, 198, 223, 499, 702, 703, 805, 963, 1023, 1153]"
blast burn,"[250, 251, 252, 253, 254, 255, 669, 925]"
blastoise,"[29, 150]"
bob,"[241, 319, 905]"
bond phenomenon,[230]
brave bird,[83]
braviary,[247]
brawly,[67]
brendan,"[203, 1164]"
brock,"[708, 1089]"
bruiser,"[119, 261, 287, 335, 348, 390, 392, 393, 395, 526, 631, 633, 804, 861, 871, 1027]"
bruno,"[36, 142, 143, 231, 335, 419, 478, 604, 716, 814, 959, 1064, 1087, 1122, 1167]"
bug type,"[90, 116, 345]"
byron,"[1049, 1054]"
caitlin,"[665, 1060]"
calanthia,"[728, 930, 1150]"
captain stewart,[858]
castform,[687]
celadon city,"[111, 492, 627, 691, 776, 907, 990, 1109]"
celebi,"[460, 719, 1019]"
celestic town,[615]
cerulean city,"[550, 551, 627, 937, 990, 1097, 1109]"
cerulean gym,[39]
chairman,[1032]
chairman rose,[1013]
champion,"[2, 3, 21, 28, 31, 32, 34, 46, 55, 62, 63, 69, 70, 77, 112, 115, 120, 129, 135, 144, 153, 154, 167, 191, 193, 197, 220, 246, 249, 280, 283, 325, 353, 402, 410, 416, 417, 418, 421, 422, 435, 439, 441, 463, 469, 483, 489, 494, 496, 497, 546, 550, 553, 568, 588, 589, 597, 623, 642, 651, 660, 661, 664, 671, 676, 734, 736, 748, 768, 774, 775, 778, 799, 810, 822, 826, 856, 873, 901, 920, 921, 962, 963, 970, 971, 976, 994, 995, 1005, 1008, 1009, 1010, 1013, 1014, 1032, 1035, 1046, 1047, 1048, 1049, 1055, 1063, 1064, 1080, 1081, 1083, 1086, 1095, 1097, 1098, 1102, 1103, 1104, 1107, 1114, 1127, 1137, 1150, 1154, 1168, 1169, 1170, 1176, 1177, 1178, 1181, 1183, 1184]"
chandelure,"[78, 190, 331]"
chansey,"[50, 51]"
charizard,"[29, 434, 436, 620, 766]"
charles goodshow,[489]
charmander,[1043]
cherrygrove city,[1157]
chikorita,[313]
chinatsu,"[2, 3, 7, 76, 77, 314, 353, 358, 472, 473, 549, 586, 642, 674, 719, 740, 825, 848, 880, 886, 1006, 1101, 1102, 1103, 1104]"
chosen one prophecy,"[76, 555, 559, 566, 567, 636]"
cianwood city,[1157]
cinnabar island,"[548, 627]"
cipher,"[222, 379, 968, 999, 1012, 1117]"
citadark isle,[222]
clair,"[44, 45, 49, 121, 182, 658, 707, 709, 869, 894, 1151]"
claydol,"[124, 126, 940, 1098]"
clefable,"[43, 314, 474, 506, 740, 848, 879]"
concept,"[85, 129, 188, 206, 214, 233, 263, 339, 358, 385, 386, 482, 522, 524, 525, 582, 618, 619, 667, 688, 710, 719, 727, 731, 807, 808, 863, 875, 876, 877, 929, 964, 965, 973, 974, 976, 977, 1017, 1018, 1025, 1028, 1033, 1034, 1035, 1146]"
conference,"[6, 20, 27, 59, 62, 112, 113, 163, 168, 173, 181, 223, 224, 225, 388, 408, 449, 457, 458, 461, 462, 493, 494, 497, 498, 546, 641, 644, 666, 679, 680, 700, 752, 815, 829, 834, 869, 948, 952, 955, 1048, 1137, 1140, 1141, 1163]"
confuse ray,"[380, 505, 715, 717, 739, 825]"
contrary,[333]
coordinator,"[577, 913, 914]"
corey,[431]
cosmog,[1062]
creation trio,"[726, 729, 1018, 1019]"
cresselia,"[898, 929]"
crime,"[52, 100, 323, 579, 692, 1160]"
crobat,[534]
crystal onix,"[295, 296, 297, 885]"
curse,"[37, 739, 1067, 1110]"
cynthia,"[143, 197, 220, 231, 243, 403, 405, 410, 430, 435, 567, 585, 615, 624, 661, 736, 746, 795, 869, 1046, 1049, 1086, 1095, 1137, 1168]"
daisy,"[711, 788, 854, 855, 858, 894, 914, 1131]"
dandra town,"[657, 1144]"
dark balls,[1117]
dark type,"[210, 268, 269, 309, 310, 345, 396, 443, 505, 598, 677, 692, 715, 739, 768, 783, 870, 880, 1002, 1003, 1004, 1020, 1021, 1067, 1085, 1110, 1161]"
dark world,"[66, 87, 89, 213, 246, 639, 943]"
darkrai,"[81, 165, 167, 216, 217, 218, 219, 359, 618, 729, 827, 929]"
dartrix,[668]
dazed,"[41, 73, 103, 106, 107, 108, 157, 240, 241, 315, 344, 351, 380, 430, 607, 621, 630, 631, 649, 650, 743, 744, 753, 754, 755, 850, 851, 868, 884, 887, 888, 988, 995, 1008, 1027, 1114, 1130, 1131, 1149]"
death,[13]
decidueye,"[334, 668]"
defenders,[732]
delia,"[363, 802, 951]"
destiny bond,"[37, 354, 356]"
dialga,"[543, 719, 726, 729, 1019]"
diantha,"[410, 417]"
diglett,[159]
distortion,"[10, 131, 268, 269, 271, 311, 312, 355, 396, 443, 503, 505, 516, 598, 618, 632, 668, 677, 717, 739, 744, 765, 768, 771, 825, 896, 897, 905, 1022, 1056, 1067, 1085, 1110, 1174]"
distortion world,"[892, 896]"
ditto,"[80, 81, 146, 164, 298, 299, 300, 455, 456, 786, 805, 1082]"
dna,"[81, 448, 786, 787]"
dov,"[793, 794, 796, 1009, 1011, 1168, 1183]"
draco meteor,[262]
draconids,"[734, 909, 915]"
dragon ascent,[258]
dragon pulse,[107]
dragon scale,[749]
dragon type,"[9, 121, 146, 151, 396, 397, 399, 516, 745, 775, 781, 790, 812, 901, 902, 972]"
dragonair,[894]
dragonite,"[29, 76, 90, 226, 399, 549, 592, 611, 766, 781, 793, 794, 795, 796, 797, 841, 915, 933, 986, 1009, 1010, 1011, 1030, 1157, 1168]"
drake,"[67, 69, 112, 326, 412, 442, 459, 549, 591, 651, 659, 705, 767, 778, 856, 901, 902, 970, 971, 972, 1030, 1063, 1171, 1172, 1178]"
drasna,[410]
dratini,"[793, 835]"
drayden,[1063]
dream eater,[108]
dugtrio,[159]
dusknoir,"[157, 189, 618, 784, 1058]"
earth badge,[545]
eastern continent,"[859, 1100]"
ecruteak city,"[314, 441, 1157]"
eevee,"[655, 835, 894, 895, 1042]"
eldes,[222]
electivire,"[118, 571]"
electric terrain,"[669, 670]"
electric type,"[288, 339, 504, 667, 683, 696, 862, 870]"
electrizer,[339]
elite four,"[32, 35, 55, 61, 62, 112, 113, 114, 115, 120, 135, 144, 244, 360, 361, 410, 412, 416, 422, 461, 463, 478, 483, 493, 494, 495, 496, 498, 499, 546, 549, 591, 604, 659, 661, 662, 663, 664, 695, 734, 764, 770, 811, 814, 821, 826, 893, 901, 903, 920, 921, 962, 963, 994, 1013, 1054, 1060, 1063, 1084, 1091, 1114, 1122, 1156, 1167, 1169, 1178, 1184, 1185, 1186]"
empathetic,[732]
entei,"[384, 528, 529, 530, 883, 1177]"
erika,"[111, 145, 691, 772]"
espeon,"[240, 894]"
ever grande,"[70, 102, 181, 489, 659, 752, 809, 815, 829, 1148]"
everstone,[863]
evolution,"[12, 85, 116, 177, 268, 338, 339, 356, 357, 372, 394, 395, 569, 571, 620, 668, 672, 863, 894, 1000, 1011, 1042, 1062, 1092, 1104, 1122, 1135, 1136, 1167]"
evolution stone,[1092]
exeggcute,[1099]
exeggutor,"[29, 42, 276, 1099]"
fairy type,"[43, 134, 376, 482, 516, 655, 1042, 1057, 1076]"
fantina,[969]
feather,"[1, 249, 339, 341, 573, 574, 712, 713, 779, 848, 878, 880, 1037, 1103]"
feather dance,[923]
feebas,"[858, 1000]"
fergus,[431]
fighting type,"[287, 309, 348, 392]"
fino moore,"[67, 737, 821]"
fiore,[1050]
fire stone,[863]
fire type,"[90, 158, 250, 251, 252, 253, 254, 255, 288, 391, 435, 504, 561, 825, 950]"
first rocket war,"[466, 467]"
flamethrower,"[892, 1129]"
flannery,[67]
flash,"[40, 744, 1174]"
flint,"[435, 659, 738, 1054]"
floette,[803]
flygon,[1010]
flying type,"[48, 86, 151, 842, 944, 991, 1157]"
foresight,[501]
fossil pokemon,"[146, 147, 322, 373, 1094, 1179]"
frontier regions,"[199, 366]"
fuchsia city,"[358, 627]"
gabite,"[723, 1010, 1168]"
galar,"[43, 91, 92, 95, 109, 125, 175, 176, 282, 283, 389, 410, 490, 610, 652, 810, 872, 954, 1013, 1014, 1032, 1132]"
galarian corsola,[80]
gallade,"[99, 414, 415]"
garbodor,[221]
garchomp,"[1010, 1046, 1053, 1125]"
gardevoir,"[103, 240, 854, 855, 899, 1131]"
gary,"[43, 150, 151, 152, 259, 430, 709, 715, 790, 858, 949, 1137, 1142]"
genesect,"[15, 214, 215, 1059]"
gengar,"[80, 311, 625, 782, 783, 1058]"
geodude,"[5, 479, 1125]"
ghetsis,[1061]
ghost of lavender,"[521, 631, 740, 879, 880, 905, 1155]"
ghost type,"[37, 80, 130, 131, 187, 189, 190, 198, 210, 243, 268, 269, 294, 311, 312, 331, 332, 334, 345, 356, 380, 381, 500, 501, 502, 598, 617, 649, 668, 692, 715, 745, 747, 768, 783, 812, 825, 880, 892, 896, 897, 898, 975, 1056, 1058, 1067, 1085, 1110]"
giovanni,"[25, 26, 38, 57, 160, 214, 223, 227, 448, 454, 466, 467, 468, 470, 512, 538, 545, 616, 694, 759, 773, 774, 799, 801, 827, 828, 893, 1152]"
giratina,[896]
glaceon,"[894, 1046]"
glacia,"[32, 67, 537, 659]"
glaive,[706]
god-king,"[580, 581, 639, 977, 978, 1016, 1077]"
goldenrod city,[1157]
golem,[152]
grand festival,[457]
grass type,"[68, 309, 608]"
gravity,"[58, 103, 104]"
greenfield,"[97, 206, 408, 423, 530, 807, 905, 1031, 1176, 1177]"
greevil,"[222, 865, 866, 867]"
greninja,[230]
grey,"[19, 20, 32, 78, 430, 432, 433, 443, 733, 992, 1147, 1160, 1161, 1162]"
grimer,[587]
groudon,"[253, 517, 595, 909, 931]"
ground type,[608]
growlithe,[601]
grumpig,"[343, 344]"
guardian,[588]
guardians of indigo,[935]
gyarados,"[16, 29, 574, 625, 991, 992]"
gym,"[53, 115, 211, 690, 952, 961, 1118, 1144, 1156]"
gym badge,[1144]
gym badges,"[223, 224, 545, 961]"
gym leader,"[61, 111, 112, 115, 144, 145, 148, 174, 192, 211, 223, 507, 508, 539, 545, 546, 547, 549, 623, 658, 683, 691, 692, 693, 708, 709, 772, 811, 819, 992, 1047, 1084, 1086, 1089, 1114, 1153]"
gym trainer,"[111, 144, 145, 518, 1047]"
hashimoto,"[212, 739]"
hasta,[706]
haukea,"[1, 63, 249, 597, 847, 917, 1033, 1034, 1035, 1055]"
heal pulse,[58]
heatran,"[304, 596]"
hilda,"[204, 205]"
hiro,"[580, 592, 1030]"
ho-oh,"[133, 441, 480, 521, 524, 582, 583, 635, 847, 873, 883]"
hoenn,"[17, 23, 67, 92, 96, 100, 108, 112, 115, 175, 176, 199, 244, 271, 280, 301, 314, 324, 326, 341, 350, 388, 453, 476, 485, 541, 548, 652, 659, 720, 734, 749, 778, 815, 821, 858, 915, 933, 1006, 1107]"
hoopa,[313]
horsea,[171]
houndoom,[765]
human biology,"[14, 116]"
hurricane,"[842, 991]"
hydreigon,"[78, 440, 443, 733, 1161]"
hydro cannon,[926]
hyper beam,"[68, 83, 516, 724, 766, 944, 1121, 1123]"
hypno,"[103, 108, 618, 650, 743, 744, 755, 1027, 1043, 1131]"
hypnosis,"[108, 868, 945]"
ice storm,[444]
indigo,"[3, 6, 7, 25, 26, 27, 66, 70, 111, 125, 132, 161, 163, 175, 176, 181, 184, 225, 244, 245, 296, 324, 325, 360, 388, 408, 476, 489, 493, 494, 546, 599, 639, 652, 659, 666, 671, 693, 714, 778, 814, 829, 933, 952, 963, 986, 994, 1050, 1052, 1097, 1100, 1162, 1181, 1186]"
indigo city,"[937, 1101]"
indigo conference,"[224, 520]"
indigo plateau,"[6, 7]"
infernape,[1043]
infernus,"[12, 18, 28, 30, 40, 41, 46, 47, 156, 170, 209, 349, 351, 352, 354, 362, 394, 420, 428, 435, 436, 437, 444, 464, 514, 526, 531, 535, 561, 571, 631, 715, 735, 738, 748, 760, 761, 779, 864, 869, 887, 892, 924, 936, 991, 996, 1024, 1146]"
inkay,"[1020, 1021, 1022]"
insomnia,[617]
international police,[518]
irene,"[778, 1049]"
iris,[1064]
jacqueline durand,[35]
jaimie,[1144]
james,[1139]
jasmine,[67]
jellicent,"[334, 861]"
jessica,"[644, 684, 775, 1137]"
jessie,[1139]
jigglypuff,[238]
jirachi,"[284, 480, 909, 910, 965, 1069, 1070, 1071, 1072]"
johto,"[24, 95, 245, 314, 468, 473, 523, 639, 869, 933, 937, 946, 963, 1100, 1157, 1158]"
jolteon,"[28, 79, 124, 156, 158, 774, 1139]"
jonathan,"[38, 251, 391, 603, 949, 950, 1137, 1142]"
juan,"[67, 752]"
jubilife city,[732]
jynx,"[1, 917, 1056]"
kalos,"[43, 91, 92, 95, 161, 162, 175, 176, 247, 282, 387, 389, 410, 412, 417, 490, 491, 652, 653, 734, 809, 844, 954, 969, 1042, 1051, 1054, 1080]"
kangaskhan,[858]
kanto,"[24, 95, 149, 163, 199, 213, 245, 325, 326, 523, 546, 547, 548, 625, 627, 639, 680, 689, 727, 767, 776, 933, 937, 951, 963, 990, 1042, 1097, 1100]"
karen,"[26, 35, 71, 114, 216, 361, 380, 419, 483, 497, 659, 663, 716, 741, 742, 743, 765, 799, 802, 814, 869, 960, 1156, 1186]"
king under the mountain,"[36, 37, 72, 472, 506, 674, 740, 819, 885, 959, 1064, 1087, 1119, 1120, 1167, 1177]"
kingdra,"[44, 45, 49, 121, 128, 171, 172, 399, 534, 771]"
klinklang,[126]
knights of uxie,[1150]
koga,"[142, 143, 419, 814, 1114]"
kommo-o,[1044]
kyogre,"[101, 517, 522, 543, 595, 931]"
lake of rage,[16]
lake orders,"[732, 930]"
lance,"[16, 21, 69, 70, 125, 182, 197, 201, 220, 229, 249, 361, 363, 373, 387, 402, 410, 422, 469, 537, 552, 553, 567, 651, 661, 707, 719, 723, 736, 741, 743, 745, 750, 775, 794, 795, 796, 797, 798, 802, 813, 825, 840, 841, 842, 872, 901, 902, 995, 1010, 1011, 1033, 1034, 1047, 1095, 1114, 1127, 1137, 1168, 1171, 1172, 1176, 1177, 1178, 1183, 1184, 1186]"
language,"[92, 110, 140, 141, 180, 1001, 1002, 1003, 1004, 1020, 1021]"
lapras,[858]
larvitar,"[4, 5]"
last war,"[161, 183, 194, 204, 259, 271, 325, 399, 410, 412, 459, 477, 491, 499, 565, 686, 702, 734, 778, 891, 934, 967, 968, 981, 983, 985, 1054, 1061, 1063, 1066, 1106, 1143, 1160]"
latii,[165]
lavender town,"[627, 739, 782, 896, 898, 1108, 1109]"
leaf,[1164]
leafeon,[894]
league,"[3, 7, 17, 25, 26, 51, 52, 53, 54, 55, 56, 61, 70, 74, 75, 92, 100, 102, 111, 112, 113, 115, 125, 132, 135, 144, 145, 148, 161, 163, 174, 181, 183, 191, 192, 243, 244, 245, 246, 247, 277, 283, 293, 296, 307, 321, 324, 325, 326, 327, 360, 366, 367, 370, 387, 400, 410, 418, 423, 448, 449, 450, 451, 452, 458, 463, 467, 470, 477, 484, 489, 493, 495, 496, 510, 511, 518, 536, 544, 546, 577, 578, 579, 599, 606, 613, 616, 659, 687, 689, 690, 692, 693, 695, 700, 711, 714, 734, 752, 799, 809, 815, 829, 903, 913, 920, 946, 956, 961, 963, 972, 994, 1005, 1006, 1013, 1032, 1041, 1045, 1078, 1114, 1118, 1144, 1148, 1150, 1162, 1169, 1182]"
learned,[732]
legendary battle,[369]
legendary beasts,"[195, 219, 384, 385, 386, 480, 521, 527, 528, 529, 530, 558, 567, 582, 807, 847, 857, 883, 895, 1018, 1177]"
legendary birds,"[1, 2, 15, 63, 133, 195, 249, 447, 480, 521, 529, 555, 556, 557, 559, 582, 597, 674, 710, 712, 713, 807, 847, 878, 883, 1018, 1028, 1034, 1035, 1055]"
legendary pokemon,"[15, 33, 63, 64, 65, 81, 85, 96, 105, 129, 133, 136, 165, 167, 169, 195, 214, 216, 217, 218, 219, 233, 253, 258, 263, 270, 278, 279, 284, 299, 304, 313, 314, 319, 359, 364, 377, 378, 382, 384, 385, 386, 387, 424, 441, 447, 448, 456, 460, 465, 471, 472, 474, 479, 480, 481, 482, 484, 512, 515, 517, 521, 522, 524, 525, 527, 528, 529, 530, 532, 542, 543, 554, 558, 562, 582, 583, 593, 594, 595, 596, 618, 619, 635, 647, 648, 667, 674, 675, 688, 691, 710, 712, 713, 719, 726, 727, 729, 807, 827, 846, 847, 850, 851, 853, 857, 873, 874, 875, 876, 877, 878, 881, 883, 896, 898, 904, 905, 908, 909, 910, 928, 929, 931, 938, 940, 941, 942, 964, 965, 973, 974, 975, 976, 978, 979, 980, 1016, 1017, 1018, 1019, 1025, 1026, 1028, 1035, 1037, 1038, 1055, 1057, 1062, 1069, 1070, 1071, 1072, 1074, 1075, 1076, 1079, 1101, 1102, 1103, 1104, 1128, 1132, 1133, 1134, 1137, 1138, 1146, 1155, 1177]"
legendary titans,[15]
leon,"[283, 410, 662, 810, 812, 872, 1013]"
lev,"[1009, 1168]"
life orb,[845]
lightning bolt,[177]
lily of the valley,"[168, 181, 244, 489, 834, 1150]"
lilycove city,[459]
liza,[1084]
location,"[22, 23, 24, 175, 176, 178, 185, 213, 302, 303, 375, 523, 643, 646, 653, 777]"
looker,[519]
lords of kanto,"[546, 547, 671, 692, 739]"
lorelei,"[32, 478, 685, 1183, 1186]"
lucario,"[41, 228, 1046, 1122]"
lucas,[203]
lucian,"[659, 927, 1054]"
lugia,"[46, 129, 378, 441, 460, 521, 522, 582, 583, 635, 712, 873, 883, 929, 931, 978, 1016, 1017, 1028]"
lumiose,[734]
lunala,[1062]
lysandre,[844]
machamp,[335]
machoke,"[119, 261, 348, 633]"
macro cosmos,"[125, 1013, 1032]"
madame boss,[466]
mael,"[841, 1009, 1168]"
magcargo,"[158, 391]"
magikarp,"[550, 858]"
magmar,"[31, 158, 391, 479, 1153]"
magmarizer,[12]
magmortar,"[435, 738]"
magnemite,"[427, 654]"
magnet rise,[622]
magnus,"[255, 434, 798, 1009, 1168]"
mahogany town,"[937, 1157, 1158]"
malamar,"[1020, 1021, 1022]"
mamoru,"[77, 127, 184, 353, 358, 473, 549, 588, 625, 627, 674, 740, 863, 907, 912, 977, 1008, 1101, 1155, 1181]"
mamoswine,[315]
marcus,"[418, 822, 1080, 1081]"
marshall,[1064]
master ball,"[1087, 1093]"
master trainer,"[21, 32, 56, 71, 114, 120, 153, 167, 182, 226, 250, 288, 289, 350, 412, 416, 419, 446, 478, 483, 505, 535, 568, 577, 623, 628, 644, 658, 659, 660, 661, 662, 669, 683, 685, 716, 748, 764, 799, 806, 822, 865, 867, 901, 925, 948, 950, 970, 971, 992, 1007, 1010, 1014, 1015, 1036, 1052, 1056, 1063, 1064, 1086, 1091, 1123, 1148, 1151, 1154, 1155, 1160, 1184]"
matthias,"[153, 469]"
maxie,[911]
may,[1164]
mega evolution,"[216, 402, 563, 620, 664, 734, 740, 769, 770, 798, 809, 813]"
melmetal,[8]
meloetta,[853]
meowth,[1126]
meta,"[14, 92, 110, 122, 137, 138, 140, 141, 170, 178, 180, 208, 234, 264, 316, 323, 327, 351, 374, 375, 389, 397, 430, 447, 475, 476, 523, 534, 541, 542, 543, 564, 565, 576, 584, 603, 604, 606, 608, 609, 613, 625, 626, 627, 628, 636, 638, 646, 653, 654, 657, 662, 666, 686, 699, 704, 705, 714, 720, 726, 729, 730, 751, 752, 756, 767, 777, 824, 827, 828, 829, 831, 834, 835, 836, 838, 839, 847, 849, 853, 860, 861, 863, 886, 900, 911, 932, 933, 937, 943, 944, 947, 955, 956, 957, 958, 987, 1005, 1006, 1030, 1073, 1088, 1115, 1124, 1140, 1141, 1159, 1164, 1176, 1177, 1180, 1181]"
metagross,"[34, 103, 106, 174, 214, 226, 242, 271, 272, 330, 371, 372, 403, 406, 411, 413, 414, 442, 488, 508, 510, 513, 563, 621, 622, 624, 681, 701, 768, 769, 959, 1095, 1098, 1099, 1168]"
metagross colony,"[265, 271, 510, 643, 701, 859, 1170]"
metal coat,[357]
metang,"[271, 372, 1098]"
meteor falls,[643]
mew,"[81, 85, 105, 166, 263, 299, 359, 364, 460, 472, 521, 543, 593, 594, 635, 640, 940, 941, 942, 964, 979, 980, 1025, 1072, 1132, 1134]"
mewtwo,"[16, 17, 64, 65, 81, 105, 106, 214, 216, 227, 241, 270, 278, 279, 319, 359, 369, 377, 382, 428, 448, 454, 455, 465, 472, 481, 512, 521, 543, 554, 558, 562, 593, 595, 628, 750, 799, 807, 827, 828, 896, 904, 905, 908, 928, 964, 1026, 1056, 1065, 1079, 1096, 1128, 1133, 1134, 1137]"
michael,"[20, 27, 28, 30, 79, 112, 124, 155, 156, 157, 164, 222, 226, 227, 409, 679, 764, 774, 865, 992, 1117, 1139, 1152]"
mightyena,[262]
millennium comet,[1071]
milotic,[1046]
mimic,[262]
mind breaker,"[383, 419]"
miracle eye,[768]
mismagius,"[311, 380, 381, 763]"
misty,[39]
moltres,"[2, 12, 46, 63, 77, 169, 245, 249, 480, 481, 549, 573, 574, 674, 710, 719, 847, 878, 880, 883, 1019, 1025, 1035, 1055, 1101, 1102, 1103, 1104]"
moo moo milk,[805]
moon stone,"[749, 847]"
move tutor,[669]
mt moon,[740]
mt. battle,[764]
mt. chimney,[1068]
mt. coronet,"[186, 187, 581, 820, 858]"
mt. gold,[185]
mt. hideaway,[1089]
mt. moon,"[314, 317, 879]"
mt. pyre,[896]
mt. quena,[270]
mt. silver,"[6, 7, 185, 186]"
muk,"[221, 407, 587, 648]"
mustard,"[970, 971]"
mythical pokemon,"[8, 313]"
n,[935]
national league,"[91, 92, 100, 149, 161, 181, 243, 244, 326, 387, 389, 410, 412, 417, 489, 652, 734, 778, 954, 967, 1014, 1080, 1106]"
nature,[487]
necrozma,[938]
neesha,"[431, 432, 605, 684]"
new island,"[270, 1091, 1096]"
nidoking,"[328, 569, 630, 631, 725, 893, 1043, 1092, 1163]"
nidoqueen,[725]
nidoran,"[317, 569]"
nidorino,[569]
nincada,"[268, 269]"
ninetales,"[353, 635, 1103, 1104]"
ninjask,[993]
no guard,[333]
noble trainer,"[91, 954, 1013]"
noctowl,"[945, 946]"
nomad,"[32, 577, 644, 806]"
normal type,"[153, 210, 273, 274, 275, 500, 501, 503, 822]"
norman,"[67, 1084]"
nugget bridge,[551]
oblivia,[1050]
odor sleuth,[501]
olivine city,[1157]
ominous wind,[717]
onix,"[295, 296, 297, 357, 479, 589, 885, 1087, 1089, 1119, 1120, 1167, 1177]"
orange islands,"[123, 885]"
orange league,[296]
ore mountains,"[639, 1100]"
origin pulse,[258]
orre,"[27, 163, 164, 199, 207, 208, 222, 325, 389, 409, 678, 756, 764, 919, 966, 967, 968, 999, 1051]"
oz,"[40, 41, 177, 394, 533, 571, 631, 637, 669, 779, 862, 864, 936, 1024, 1146]"
pain split,[356]
palkia,"[543, 726, 881]"
pallet town,"[153, 174, 363, 436, 657, 749, 948]"
paul,"[997, 998]"
perish song,"[717, 718]"
persian,"[773, 774, 775, 799, 893]"
pewter city,"[588, 589, 627, 708]"
phoebe,"[67, 659]"
physics,[98]
pidgeot,"[151, 202, 790, 933, 986]"
pierce,"[226, 257, 508, 518, 697, 823, 1170]"
pikachu,"[29, 118, 1139]"
pike,"[705, 706, 1172]"
plume,"[86, 151, 213, 621, 631, 717, 724, 923, 1067]"
poison type,"[221, 290, 291, 407, 1163]"
pokeballs,"[919, 934, 981, 982, 983, 984, 985, 1087, 1093, 1117]"
pokedex,[84]
pokelantis,[133]
pokemon battle,"[4, 15, 19, 20, 27, 28, 32, 33, 34, 36, 37, 38, 39, 41, 44, 59, 120, 124, 150, 151, 155, 156, 157, 158, 192, 220, 226, 227, 273, 281, 288, 308, 343, 345, 346, 347, 348, 349, 350, 352, 354, 359, 360, 361, 362, 376, 383, 384, 390, 393, 402, 403, 405, 406, 414, 415, 416, 420, 423, 428, 429, 432, 433, 435, 436, 439, 444, 449, 459, 464, 478, 498, 499, 500, 501, 502, 520, 549, 550, 585, 588, 590, 624, 641, 663, 678, 679, 680, 684, 709, 724, 738, 742, 744, 745, 746, 748, 766, 768, 769, 781, 783, 792, 793, 794, 795, 799, 800, 801, 810, 824, 825, 826, 840, 841, 842, 848, 856, 869, 875, 876, 879, 880, 892, 893, 899, 901, 902, 903, 905, 920, 921, 959, 962, 992, 1009, 1017, 1045, 1081, 1095, 1107, 1127, 1145, 1147, 1154, 1159, 1161, 1162, 1163, 1166, 1168, 1176, 1178, 1183, 1184, 1185]"
