Num,Question,RelatedTags,Answer
12,On Infernus’ evolution.,"['Evolution', 'Infernus', 'Magmarizer', 'Moltres', 'Technology']","I will say Infernus didn’t get a real power boost from Moltres’ influence on his evolution. I’m not a fan of blatant power ups haha. He’s more or less as strong as he would be if he’d evolved through a Magmarizer. What the experience did leave him with, however, was knowledge and comprehension that’ll help him down the line."
13,Does Sabrina not know [about Ash dying]?,"['Ash', 'Death', 'Psychic', 'Sabrina']",Sabrina knows - most powerful psychics will be able to tell that something is at the very least not right with Ash.
14,Could it be argued that humans are technically Pokemon?,"['Human Biology', 'Meta', 'Pokemon Biology']","In most continuities, I think yes. In Traveler, that’ll be a no."
15,Where are the legendary golems in the strength tree? Are they at a similar level as genesect?,"['Genesect', 'Legendary Birds', 'Legendary Pokemon', 'Legendary Titans', 'Pokemon Battle']","They’re roughly around the level of the Birds, although I don’t want to give too much info on them yet."
16,Doesn’t Traveler Lance have a red Gyrados?,"['Gyarados', 'Lake of Rage', 'Lance', 'Mewtwo', 'Team Rocket']","Yep, due to the Rockets being mostly broken up by Mewtwo’s temper tantrum, they never went forward with their evolution experiments at the Lake of Rage. Lance just has a normal boring blue Gyarados."
17,How many Rockets were there before and after the [Rocket] war? How many remain free?,"['Archer', 'Ariana', 'Hoenn', 'League', 'Mewtwo', 'Proton', 'Rocket War', 'Team Rocket']","Actual, uniformed Rocket grunts and operatives? A few thousand. Research teams, criminal links, smugglers, and the Rocket network measured in the tens of thousands. Plenty were wiped out by Mewtwo and the League. I’d say there’s something like 1-2,000 Rockets split between the factions in Hoenn, though they’re recruiting as much as possible and making forays into the criminal underworld and poaching rings (exploiting many former links that Pierce organized).

Proton and Archer are free. Petrel is still in prison, as is Ariana."
18,"Infernus grunts, right?","['Infernus', 'Pokemon Behaviour']","Snarls, grunts, and roars mostly."
19,On Grey’s perspective about battles.,"['Ash', 'Grey', 'Pokemon Battle']",He and Ash are basically on the same page where it’s more about the right [fight] than the win. Not that either like losing - they hate it - but both are in it for the competition instead of just winning.
20,If Micheal and Grey had a field battle who would win? By that I mean everyone with each other.,"['Conference', 'Grey', 'Michael', 'Pokemon Battle']","If you had just their Conference teams they faced Ash with...I'd say it'd be close. I'd lean towards Grey, simply because he's used to hunting down powerful trainers. Michael's team I see as more of an army - they fight well together and compensate for each other's weaknesses, but Grey's team is designed to be as lethal as possible. He excels in taking down single powerful trainers, whereas Michael is who I would want on my side if I had to take down hundreds of trainers."
21,"On the topic of Lance, do we know how old he actually is? Traveler info and Recollection stories are contradicting each other.","['Age', 'Champion', 'Lance', 'Master Trainer']","Lance is...26? 27, maybe? To be honest I lost the notes I had with his exact age and have just had him categorized as mid-20s. I know he was a Master at 14, Champion at 15 or 16? Can't remember which. He'd been Champion for roughly ten years when Traveler first began, so he's been Champion for a little over 11 years now. That puts him at 26ish. I'll see if I can't dig through my notes and find the exact accurate notes."
22,On the southern continent.,"['Location', 'Sinnoh', 'Southern Continent']",There's significantly more to the Southern Continent. I figure the northern cap isn't too far north from Sinnoh.
23,"Out of curiosity, is Hoenn in line with the Equator?","['Hoenn', 'Location', 'Southern Continent']",Roughly. I imagine it to be roughly in line with the equator. Perhaps a little north? The Southern Continent is enormous.
24,On the official Traveler world map.,"['Johto', 'Kanto', 'Location', 'Sinnoh', 'Southern Continent']","Also, keep in mind the proportions for some areas are slightly off. In my mind Sinnoh is much bigger, nearly the size of both Kanto and Johto. I'll edit that in the future, along with the Southern Continent to make it look a little more realistic. That long, smooth strait in the southwest of the Southern Continent is intentional, btw!"
25,How hard would it be to take over Viridian Gym when Giovanni is killed?,"['Giovanni', 'Indigo', 'League', 'Viridian Gym']",Kind of a mess because the League was extremely paranoid about everything to do with the Viridian Gym and figuring out the extent of the corruption and rooting it out.
26,Who is the [Viridian] gym leader now though?,"['Giovanni', 'Indigo', 'Karen', 'League', 'Viridian Gym', 'Will']","Still having Karen as the substitute for now, but Will shifts in and out once he's back on his feet. They have other League members as well t[o] take some of the strain off."
27,"As things are now[chapter 51], how would Ash stack up against Michael?","['Ash', 'Conference', 'Indigo', 'Michael', 'Orre', 'Pokemon Battle']","That's a hard question [redacted] and it does kind of come down to the context of the fight. Michael hasn't been resting on his laurels after the Conference down in Orre, but he's definitely specializing to be more like Grey with his team - less emphasis on individual development and more on members of the team working with one another to maximize effectiveness and compensate for each other's weaknesses. He's training soldiers, not warriors. Ash's team is steadily growing in individual strength, and I think they'd be at least equal to most of Grey's team (minus Jolteon) in one-on-one combat since that's not what Michael is focusing his energy on. If you threw six of Michael's pokemon at six of Ash's, though, it would be a really bloody battle. Ash's team is strong enough to do some major damage, but I think Michael would pick Ash apart through superior teamwork."
28,Was it possible for Ash to beat Michael?,"['Ash', 'Air Lens', 'Champion', 'Infernus', 'Jolteon', 'Michael', 'Pokemon Battle']","I'd say that it was possible, but I think it would've been a 1-in-100 shot. Ash would've had to do everything absolutely perfectly, which was extremely tough to do because Michael had way more pokemon than he did and had basically seen every trick Ash had except for Air Lens - and we saw how effective that was. Without Air Lens and Infernus, Michael would have done serious damage with Jolteon, which was Champion-level."
29,Can you tell us all of Oak's team?,"['Alakazam', 'Arcanine', 'Blastoise', 'Charizard', 'Dragonite', 'Exeggutor', 'Gyarados', 'Pikachu', 'Professor Oak', 'Tauros', 'Venusaur']","Yep, Oak does have Ash's canon Pikachu at the Corral with him. It's kind of his buddy since most of his other teammates are either living a distance from the Corral or would completely tear the house up.

Tauros, Exeggutor, Arcanine, Charizard, Venusaur, Blastoise, Dragonite, Gyarados, and Alakazam. Maybe a few others, but these are the important ones that made up the core of his team."
30,How did Infernus get that far ahead? The exp[ierence] from Michael?,"['Ash', 'Infernus', 'Michael', 'Pokemon Behaviour']","Mostly just because he's a broken fighter haha. Even before you factor in his stamina, techniques, and skill at battle you have to consider his devastating, absolutely OP combo of Teleport/Hug that can take down most fighters easily."
31,What was its [Blaine’s Magmar] rank in its prime?,"['Blaine', 'Champion', 'Magmar']","I'd say B+, so average Champion-level."
32,Can you please elaborate on threat levels and how those threats are measured?,"['ACE Trainer', 'Agatha', 'Champion', 'Elite Four', 'Glacia', 'Grey', 'Lorelei', 'Master Trainer', 'Nomad', 'Pokemon Battle', 'Pokemon Trainer', 'Threat Level']","Here's a rough breakdown of the threat-levels.

H: Champion-level threats. Basically someone you'd want to have the entire Elite Four plus ACE Trainers to take down safely.

AAA: High-level Masters. Think Agatha, Glacia, Lorelei, etc. Powerful, experienced Masters. You'd probably want two Elite Four + ACE Trainer backup.

AA: Master-level. This is the most common level of Nomadic Masters. They're extremely formidable, but tend to have holes in their teams that can be safely exploited by a prepared team.

A: Elite trainers like George Grey. Potentially devastating if they run rampant, but not nearly impossible to take down cleanly like a Master."
33,What tier is Ash [around chapter 51]? in AA?,"['Ash', 'Legendary Pokemon', 'Pokemon Battle', 'Threat Level']","Ash is currently considered by the League to be in A. He's got a few powerhouses and is strong across the board, but more experienced trainers wouldn't have much trouble taking him down in groups. They'd be able to pick him apart due to his inexperience if he didn't have support. In reality, I think they'd treat him more like AA or even S due to his unique ties to the League and, more importantly, his links to the Legends. They don't know exactly what he could do if he went rogue, but they don't want to take chances."
34,How far down the list does Steven fall [in the tier list] if you take away Metagross?,"['Champion', 'Metagross', 'Pokemon Battle', 'Steven', 'Threat Level']","Without Metagross I'd say Steven falls to S-tier. He'd be at the top of it, but Metagross is an instrumental part of his team. He'd still be a nightmare to fight, but Metagross does a lot of his offense and softens up (or wipes) the other team. A lot of his other teammates are based around endurance and outlasting the weakened opponents.

Honestly, the rest of Steven's team is more than capable of handling most Masters fairly easily. The biggest issue of losing Metagross would be against Champion-level teams where he's instrumental. Metagross is usually good for taking down their cornerstones and then another teammate, or at least mostly taking them down."
35,On Jacqueline Durand’s thead level.,"['Elite Four', 'Jacqueline Durand', 'Karen', 'Threat Level', 'Will']","And [redacted] [redacted] is right. Jacqueline Durand is basically on the level of inexperienced Elite Four members like Will and Karen. In a straight fight she's much more dangerous than they are, however. It's one of the situations where tier lists don't perfectly capture the full picture."
36,On the King Under the Mountain participating in regulated matches.,"['Bruno', 'King Under the Mountain', 'Pokemon Battle']",Technically there's nothing stopping Bruiser[Bruno] from using the King (other than the problem of actually fitting him in the stadium) but he would never use him in a regulated match. Bruno has too strong of an honor code for that.
37,On the King Under the Mountain against a distortion user.,"['Curse', 'Destiny Bond', 'Ghost type', 'King Under the Mountain', 'Pokemon Battle']","Yep, ghosts are excellent for taking down overwhelming conventional fighters like that.I'd say it might take several Destiny Bonds and Curses to bring the King down - it's massive enough that it would require a lot more Distortional energy to bring him down."
38,On Jon and Amelia being [around chapter 51] on Giovanni’s level.,"['Amelia', 'Giovanni', 'Jonathan', 'Pokemon Battle']","Yep, it's easy to forget that they're pretty powerful in their own right. I mean, in a real fight Giovanni would tear them apart. But in a regulated match they're on roughly even terms."
39,On Misty’s level.,"['Cerulean Gym', 'Misty', 'Pokemon Battle', 'Sensational Sisters']","I put Misty on the level of the Sisters at this point [around chapter 51]. We haven't seen her in ages but she has the resources of the Cerulean Gym, training, and plenty of pokemon of her own. She's at least low Gym Leader-level with her personal team."
40,Why did you never teach her [Oz] teleport as well?,"['Infernus', 'Flash', 'Oz', 'Teleport']","Mostly it comes down to Oz not having the endurance. It's rough even on Infernus, and she just doesn't have his stamina. I think it would drain her too quickly at this point. She's better off favoring dodges and using things like Flash to overwhelm and disorient a pokemon's aim than teleporting away. Infernus has been a stamina monster from the beginning."
41,Wouldn't using it cover and increase her stamina? [see question 40],"['Dazed', 'Infernus', 'Lucario', 'Oz', 'Pokemon Battle', 'Teleport']","It would, but not by a noticeable margin. It might take her from 1-2 times per battle to 2-3, maybe 4. She wouldn't be able to hop around like Dazed can. Even Infernus uses it mostly as an opening tactic to close distance or desperate defensive moves, like against Lucario."
42,Does that mean they [Exeggutor’s eggs] are separate entities?,"['Exeggutor', 'Pokemon Biology', 'Psychic type']","Yeah, the most logical solution to me is that they're individuals, but are mentally linked in order to create a hive mind organism. That would probably amplify their psychic abilities as well - alone I can see them being ridiculously weak."
43,On Fairy types.,"['Alola', 'Clefable', 'Fairy type', 'Galar', 'Gary', 'Kalos']","Quick point that's not really a spoiler so much as making people aware of my stance on Fairy-types: Gary's Clefable is not technically a Fairy-type at this moment. You have to go to areas like Kalos, Alola, and Galar for that...at the moment."
44,Is Torrent just salty that Clair’s Kingdra used Attract?,"['Attract', 'Clair', 'Kingdra', 'Pokemon Battle', 'Torrent']","Pretty much. Nobody was really happy about how that ended, but Torrent is taking it extremely personally. He's been dreaming of this fight and had a chance at an honorable loss or victory yanked away from him."
45,So he [Torrent] now views Clair’s Kingdra as beneath honor and now would never consider her as a partner?,"['Clair', 'Kingdra', 'Torrent']","I wouldn't say it's that extreme - I think a rematch would do them both good, though."
46,What happens when Ash dies and most of his team outlive him?,"['Ash', 'Champion', 'Infernus', 'Lugia', 'Moltres', 'Pokemon Behaviour', 'Torrent']","A lot of the others I won't spoil, but Torrent goes to Lugia to act as its Champion (like the talking Slowking at Shamouti), and Infernus makes a beeline for the Fire Stone to reclaim it. He fights Moltres for eternity, slowly growing stronger over the centuries until he's able to push past Moltres and reclaim the Fire Orb, then burns the whole world.

Okay, can't confirm the last part, but he'll at least go after the Fire Orb when there are no mundane challenges left."
47,What would Infernus do when he’s done all he can?,"['Ash', 'Infernus', 'Pokemon Behaviour']",That's something even Infernus wouldn't know. Probably end up getting himself killed on purpose by taking on something way stronger than him.
48,We already know that Traveler's got space travel. How far off are we from FTL travel? Any chance we get space odyssey pokemon regions?,"['Flying type', 'Space', 'Rayquaza', 'Pokemon Behaviour']","Honestly, the biggest problem is that Rayquaza makes a habit of blasting the space shuttles and satellites out of the sky. Plus a bunch of flying-types take it as a personal challenge to shoot man-made things down. Most of the world isn't very hospitable."
49,Comparison between Torrent and Clair’s Kingdra.,"['Clair', 'Kingdra', 'Strength', 'Torrent']",[Redacted] 100% on point. They're at similar levels (Clair's is overall more powerful) but they basically took two different specializations.
50,What would it take for a Pokecenter to part with a Chansey?,"['Chansey', 'Pokemon Behaviour', 'Pokemon Center']","A big part would depend on if the Chansey wanted to leave or not. If it did, nobody's stopping them."
51,How are Pokecenters not robbed more frequently?,"['Chansey', 'League', 'Pokemon Center']","Let's just say that the League doesn't take kindly to their Pokemon Centers getting attacked. Also, now I'm just imagining various pokemon stealing Chansey eggs to raise them as their own so they can have healers lol."
52,On the advantages of organized crime.,"['Crime', 'League', 'Psychic type']","And yep, I wouldn't want to be a criminal without a greater organization. One League psychic scanning brains out in the wilderness would be enough to get you captured."
53,"How hard would it be to get a trainer license in Traveler if some kid just turned up at Viridian with a pidgey, spearow and poliwhirl and nothing else?","['Gym', 'League', 'Pokemon Trainer']","Extremely easy. There's some certification tests, but the League WANTS as many trainers as possible. It's the backbone of the economy and an excellent way to naturally develop people with teams that can later find work in industry, law enforcement, etc."
54,Do trainers in Traveler get starting funds when they become a trainer?,"['League', 'Pokemon Trainer']","I did a horrible job of fleshing out the starting process of being a trainer in a beginning, but the League has a vested interest in making sure the beginning trainers have at least some resources. They want them to succeed and want to ensure pokemon are well-taken care of."
55,On the League’s power structure.,"['Champion', 'Elite Four', 'League']","The League is the governing body. It's an interesting system in that they're very, very involved in many ways but extremely hands off in others. The Champion is essentially a military dictator with practically unlimited authority. What balances are in place are basically making sure the Champion and Elite Four are of good moral fiber through a series of psychic checks. In practice, the League allows the various territories and cities to govern themselves so long as they abide by the League's laws, but they come down like a hammer when they need to."
56,On whether it’s necessary to bond with your Pokemon to reach a high combat level.,"['League', 'Master Trainer', 'Pokemon Behaviour', 'Team Rocket']","Yep. To reach a high level you have to have some kind of cooperation with your team. They have to like and respect you - even if they fight out of fear, it's going to hamper them. They can reach Master-level, but it's extremely rare. There's nothing stopping a pokemon from snapping and killing their trainer, and it's hideously easy. There's a reason that the Rockets invested so heavily in breaking down their pokemon for the most part."
57,On Giovanni caring for things other than himself.,['Giovanni'],"One thing to keep in mind with Giovanni is that he did care for things, but in an extremely selfish, narcissistic way. His love is basically seeing things as an extension of himself, as treasured possessions that belong only to him. It's a shallow thing."
58,Would the training under a Gravity attack and getting healed with Heal Pulse be applicable in Traveler?,"['Gravity', 'Heal Pulse', 'Pokemon Moves']","I don't think so. It might work for a bit, but I think you'd get extremely diminishing returns. I see Heal Pulse as a quick-and-dirty way to numb pain and promote some recovery. It'll keep you in fighting condition, but if you use it over and over again the body is going to be utterly exhausted. Plus I think spending a lot of time under Gravity could be rough on a pokemon's system. It could be used as a sporadic regimen, but I wouldn't rely on it."
59,In Traveler-verse is pokemon referee a separate profession or is it done by gym trainers?,"['Conference', 'Pokemon Battle', 'Pokemon Gym', 'Pokemon Trainer']","And good question, I haven't really thought about it. I'd say that it can be both - for big things like Conferences the League probably has ones that they hire, but in Gym battles it's likely that a Gym trainer is just trained to do it."
60,"People who don't start from say Oak, where do their pokemon go when they have a full team already?","['Pokemon Trainer', 'Professor Oak']",I imagine that there are plenty of other League and private facilities that look after excess Pokemon.
61,How does one become a Gym Leader? Like do you have to overthrow the current Leader or does it have to be passed on?,"['Elite Four', 'Gym Leader', 'League']","It's an appointed position. It's not like the Elite Four where a challenger can potentially dethrone you and take your spot. Gym Leaders take care of the League's work on a local level, so they need to be individuals who can be trusted with a high degree of autonomy. You see it passed down through families frequently, but it's definitely not hereditary. Anyone acting as a Gym Leader has to meet the League's requirements."
62,In E4 whoever wins gets the spot immediately? Or is there some mentorship period to learn about other aspects of the job/check if the candidate isn't a psycho?,"['Champion', 'Conference', 'Elite Four']","Not immediately. They wouldn't be made acting members of the Elite Four until they'd been heavily screened and gone through a mentorship period to prepare for the role, but it's pretty rare that any Conference Champions actually take down one of the Elite Four anyways. What normally happens is that promising Conference Champions lose against the Elite Four and are inducted as Elite Four trainees. Promising candidates are also approached outside Conferences. After a while, they can choose to make a challenge or slot in when a current Elite Four member leaves."
63,On whether other Legendary Birds replicate Articuno/Haukea’s relationship.,"['Articuno', 'Champion', 'Haukea', 'Legendary Birds', 'Moltres', 'Legendary Pokemon']","FYI for everyone, Haukea is entirely unique. Moltres has a fair number of mortal Champions - it likes to invest. Articuno's only Champion is Haukea."
64,On what caused Zapdos to leave at the end of The Storm.,"['Ash', 'Mewtwo', 'Zapdos', 'Legendary Pokemon']","If you're talking about Zapdos, then basically Mewtwo's mental struggle against it while he was still hampered by his power-limiting armor was what grounded it and caused it to roost. But Ash got it to leave of his own volition."
65,On Mewtwo’s impact on the behaviour of Zapdos.,"['Mewtwo', 'Pokemon Behaviour', 'Zapdos', 'Legendary Pokemon']","It was sort of a situation where everything would've been fine without Mewtwo...which kind of describes most of the plot, now that I think about it. Basically Mewtwo discovered Zapdos while it was passing through as normal, attacked it mentally, then Zapdos was exhausted and decided to sleep for a little while to recover."
66,On what is the Dark World.,"['Dark World', 'Indigo', 'Rota']","The Dark World is the region north of Indigo and Rota, surrounded by huge walls of mountains where a lot of stuff gets weird."
67,On some characters ages [around chapter 51].,"['Age', 'Brawly', 'Drake', 'Fino Moore', 'Flannery', 'Glacia', 'Hoenn', 'Jasmine', 'Juan', 'Norman', 'Phoebe', 'Steven', 'Sidney', 'Winona']","Also, while I'm working on some character ages I'll go ahead and post a few for the Hoenn League since the shipping conversation is going on (and to let me refer back to it). Roxanne - mid-late teens, not sure yet. Flannery - 14. Phoebe - 20. Glacia - 38. Winona - 28. Norman - late 30s. Brawly - late 20s. Steven - 26. Mr. Moore (Flannery's grandfather) - 67. Sydney - early 20s? Feel like I mentioned his in-story somewhere. Drake - 60s. Juan - 45. Others I'm sure I forgot, but that's a rough overview. Subject to change.

Jasmine's late teens, maybe early 20s? And I'm going to post a more official list later on. This is just the quick and dirty version."
68,"Say I got a Venusaur, what would be the advantages of teaching him solar or hyper beam?","['Hyper Beam', 'Grass type', 'Solar Beam', 'Sunny Day', 'Venusaur', 'Pokemon Moves']","I imagine that it's much easier to make Solar Beam more energy efficient overall. Sunny Day, etc. It's taking the energy from an external force instead of from yourself, although it can still be exhausting."
69,"So because of Lance the cape is associated with championship, while in reality it's a Wataru thing. So he basically ties the clan to the position?","['Champion', 'Drake', 'Lance', 'Wataru Clan']","It's actually been associated with the Champion's position for centuries now, but it had its origins in the many, many Drakes that achieved the Champion's position. As political powerhouse warlords trained from birth (not to mention easy access to some of the most powerful pokemon around) they had a disproportionate number of Champions counted in their ranks, especially in the old days before training advanced to where it is now. As time went on more and more Champions naturally took up a cloak or mantle, and eventually it became part of the tradition."
70,"That [previous question] still makes me wonder if that had an effect on the Hoenn League. They also have a Champion's Cape, in the exact inverted colors of Lance's.","['Champion', 'Ever Grande', 'Indigo', 'Lance', 'League']","I do see the Ever Grande League Champion having an official cape/mantle they wear for ceremonial purposes, but it's not a constant thing like Lance's. The other Leagues modeled the League system off Indigo, so it would make sense for them to take elements from that."
71,Quite surprised that [around chapter 51] Karen and Will [a]r[e] on the same level as Ash [on the tier list].,"['Ash', 'Karen', 'Master Trainer', 'Tier List', 'Will']","They definitely have a fair bit of an edge on Ash, but they're still at that low Master-level since they're pretty inexperienced."
72,On the King Under the Mountain’s size.,"['King Under the Mountain', 'Pokemon Biology']","Also, the King Under the Mountain is around 200 feet long. It reaches 100 feet in height when it rears up, but half its body is left on the ground to stabilize."
73,On Dazed’s growth.,"['Dazed', 'Psychic type']","I won't go into the pendulum aspect, but the majority of Dazed's actual increase in power comes from steady growth (basically working out her psychic powers) and exploiting the ridiculous versatility of psychic powers."
74,How do trainers catch Abra and other teleporters? Wouldn't they be able to teleport when they're released after being caught?,"['Abra', 'League', 'Pokemon Trainer', 'Psychic type', 'Teleport']","Most Abra are pretty content to roll with it if a trainer catches them. They're smart enough to see the advantages. Plus, if they really don't want to be caught, all they have to do is reach out to the League. Or attack their trainer and take their pokeball away, but that's for extreme cases."
75,"Caught pokemon can reach out to the League? Well with psychics to translate and pokemon being sapient it's definitely interesting,can I ask you to expand on that please?","['League', 'Pokemon Trainer', 'Psychic type', 'Wild Pokemon']","Sure, basically the League has a ton of psychics posted throughout the wilderness to generally keep an eye on wild pokemon, trainers, and to know when to reach out to help others. It's just a good tool. It's very easy for them to sense distress, and they'll often check in on it. I don't want to go in too much detail yet."
76,How strong is the Shamouti Slowking compared to say Lance's Dragonite or Chinatsu?,"['Chinatsu', 'Chosen One Prophecy', 'Dragonite', 'Shamouti', 'Slowking']","Shamouti Slowking is kind of in an interesting place compared to Chinatsu. On paper, it has the ability to be an incredibly powerful opponent - basically able to use its psychic abilities and control over the ocean to an incredible scale we haven't seen elsewhere. But Chinatsu would probably beat it despite that. Slowking is more of a mentor or loremaster, meant to oversee the Prophecy and guide heroes. Chinatsu is a warrior through and through."
77,On Chinatsu’s strength.,"['Chinatsu', 'Champion', 'Mamoru', 'Moltres', 'Will-O-Wisps']","I have to agree. Chinatsu has some really, really hax abilities due to her age, experience, and status as Moltres' Champion. If you took her ability to decompose into Will-o-Wisps away from her, Mamoru might have a chance, but that would just leave her a glass cannon who could still feasibly burn right through his armor."
78,Just looked at tiers in FAQ. Does it mean that Chandelure was the strongest of Grey's pokemon (not Hydreigon)?,"['Chandelure', 'Hydreigon', 'Grey']","Different strengths, I'd say. If you want something taken down physically, go for Hydreigon. Chandelure is more for nasty things like Infernus that are almost impossible to take down conventionally. Chandelure definitely has the edge on Hydreigon because of how reckless and aggressive it is. It would walk right into traps."
79,Do you plan on including more pokemon in the tier? I'm curious how Michael's Jolteon will rank since we didn't see it go all out.,"['Jolteon', 'Michael']",Not currently - I actually didn't set up the tier. Michael's Jolteon would be ranked in the B+ or the hypothetical A- tier. It's Champion-level but definitely not at the level of a cornerstone.
80,Can Ditto transform into a ghost in The Traveler?,"['Ditto', 'Galarian Corsola', 'Gengar', 'Ghost type', 'Pokemon Biology']","I'd say it depends on the ghost since Ditto requires some kind of DNA to latch onto. Galarian Corsola, yes. Trevenant,  yes. Gengar? No. Ditto needs something to work with, so if a ghost uses something entirely inorganic it's a hard counter to Ditto. But Ditto in Traveler (experienced ones at least) are also capable of storing DNA for later use, although it degrades over time."
81,What happens if it transforms into Mew?,"['Alakazam', 'Darkrai', 'Ditto', 'Mew', 'Mewtwo', 'Legendary Pokemon', 'DNA']","Ditto's transformation into Mew would be like Mew's transformation into Darkrai. Probably fairly powerful (but like, Alakazam level) but with complete inexperience with the limited psychic powers it could access.

Plus, it depends on how efficient Mew is at cleaning up the DNA it leaves behind...it can't be too good because Mewtwo is a thing, but I think Mew would be either a little too intrigued for Ditto's own good or slightly offended."
82,Will we ever get the Battle Frontier?,['Battle Frontier'],"Most likely not, [redacted] but I will include elements from it and make references to it eventually. Possibly. Maybe? Who knows. I just know that writing that many battles would kill me haha."
83,"During Brave Bird, is it the feathers that burn, an energy cloak that burns or a bunch of matter materialised from energy that burns?","['Brave Bird', 'Hyper Beam', 'Pokemon Moves']","Off the top of my head, I'd say it's a mix between the feathers burning slightly due to friction, but the majority of it comes from the pokemon's energy being focused through the body, kind of like it was using Hyper Beam inwardly if that makes energy sense. I see it as less actual flames - to a point, anyway - than it is a sort of aura that results from the pokemon's power. One of the harder questions to answer, and it's subject to change as I think about it more."
84,"It was discussed here, and you also wrote it clearly in the story that the Pokenav was a fairly new thing. Will Ash be getting an upgrade technology wise? Like an updated Pokedex or Xtransreciever or something?","['Ash', 'PokeDex', 'PokeNav', 'Stone Family', 'Technology']","Ash will most likely be getting a new technology upgrade, but it's most likely going to be an upgraded PokeNav since he's so close to the Stones. He already has the national dex upgrade."
85,Did the Pokemon come into existence naturally through evolution by itself? Or did Mew assist this at some point and then let it go on by itself afterwards?,"['Concept', 'Evolution', 'Legendary Pokemon', 'Mew']","Good question! Essentially life began as it did in our universe over the course of millions and millions and millions of years. Everything was fairly standard other than the fact that the Legendaries existed - basically, life would constantly get reset due to the Legends rampaging uncontrolled. The planet was just too unstable for life to flourish. Single-celled, microscopic, and smaller, more adaptable forms of life would survive just fine and grow back and evolve in new ways, but then a big Legendary event would take place every few thousand years and completely mess everything up. The planet was just inhospitable to advanced life. As the Guardian of Life, Mew was very, very bored and frustrated by this arrangement. It gave life the kickstart it needed and basically engineered the progenitors of pokemon, which would be hardy and tough enough to survive Legendary clashes (or at least give them a chance to escape). Mew basically created them, dumped them all over the planet, and let things proceed naturally after that. That's not the whole story, but it's enough for now.

So yeah, it's basically both. Mew basically provided the foundation that would be able to survive the inhospitable earth, but otherwise evolution proceeds as normal. This is the rough version, at least. I could go into more detail but I'd rather save that for a later time."
86,On Plume’s speed.,"['Flying type', 'Plume']","Before I went to work I figured I'd pop in here and address the discussion real quick. Honestly, I don't want to jump to assigning actual numbers to Plume because I'm not knowledgeable enough about aerodynamics and the physics involved to handle it like I do with certain biological questions. Basically, we'll just stick to that she's really, really fast and can at minimum break the sound barrier pretty easily haha. I have an idea of her speed that I use for travel purposes, but I don't feel comfortable assigning exact numbers to it!"
